,de,en,fr,it,ja,pl,pt,ru,uk,zh
None,,,,,,,,,,
$1_color,1 colour,1 color,1 couleur,1 colore,1色,1 kolor,1 cor,1 цвет,1 колір, 种颜色
$3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
$Achievements,Erfolge,Achievements,réalisations,Risultati,業績,Osiągnięcia,Conquistas,Достижения,Досягнення,成就
$Again,Nochmal,Again,Encore,Ancora,また,Ponownie,De novo,Заново,Знову,再次
$Animations,Animationen,Animations,Animations,Animazioni,アニメーション,animacje,Animações,Анимации,анімації,动画
$Back,Zurück,Back,Cuire,Indietro,戻る,Z powrotem,Voltar,Назад,Назад,后退
$Basic,Basic,Basic,Basique,Di base,基本,Podstawowy,básico,Базовые,Базовий,基本的
$Best_score:,Bestes Ergebnis:,Best score:,Meilleur score:,Miglior punteggio:,最高のスコア：,Najlepszy wynik:,Melhor pontuação:,Лучший счёт:,Найкращий результат:,最佳得分：
$Best,Beste,Best,Meilleur,Migliore,最高,"To, co najlepsze",Melhor,Лучший,Найкращий,最好的
$Best_Score_20000_(3D),Bestes Ergebnis 20000 (3D),Best Score 20000 (3D),Meilleure note 20000 (3D),Miglior Punteggio 20000 (3D),ベストスコア 20000 (3D),Najlepszy wynik 20000 (3D),Melhor Trilha Sonora 20000 (3D),Лучший счёт 20000 (3D),Найкращий результат 20000 (3D),最高分 20000 (3D)
$Best_Score_20000_(Classic),Bestes Ergebnis 20000 (Klassisch),Best Score 20000 (Classic),Meilleur score 20000 (Classique),Miglior Punteggio 20000 (Classico),ベストスコア 20000 (クラシック),Najlepszy wynik 20000 (klasyczny),Melhor Trilha Sonora 20000 (Clássico),Лучший счёт 20000 (Классика),Найкращий результат 20000 (класичний),最高分20000（经典）
$Best_Score_30000_(3D),Beste Punktzahl 30000 (3D),Best Score 30000 (3D),Meilleur score 30000 (3D),Miglior Punteggio 30000 (3D),ベストスコア 30000 (3D),Najlepszy wynik 30000 (3D),Melhor Pontuação 30000 (3D),Лучший счёт 30000 (3D),Найкращий результат 30000 (3D),最高分30000（3D）
$Best_Score_30000_(Classic),Beste Punktzahl 30000 (Klassisch),Best Score 30000 (Classic),Meilleur score 30000 (Classique),Miglior Punteggio 30000 (Classico),ベストスコア 30000 (クラシック),Najlepszy wynik 30000 (klasyczny),Melhor Pontuação 30000 (Clássico),Лучший счёт 30000 (Классика),Найкращий результат 30000 (класичний),最高分30000（经典）
$Best_Score_4000_(3D),Bestes Ergebnis 4000 (3D),Best Score 4000 (3D),Meilleur score 4000 (3D),Miglior punteggio 4000 (3D),ベストスコア 4000 (3D),Najlepszy wynik 4000 (3D),Melhor Pontuação 4000 (3D),Лучший счёт 4000 (3D),Найкращий результат 4000 (3D),最高分 4000 (3D)
$Best_Score_4000_(Classic),Beste Punktzahl 4000 (Klassisch),Best Score 4000 (Classic),Meilleur score 4000 (classique),Miglior Punteggio 4000 (Classico),ベストスコア 4000 (クラシック),Najlepszy wynik 4000 (klasyczny),Melhor Pontuação 4000 (Clássico),Лучший счёт 4000 (Классика),Найкращий результат 4000 (класичний),最高分 4000（经典）
$Best_Score_40000_(3D),Bestes Ergebnis 40000 (3D),Best Score 40000 (3D),Meilleur score 40000 (3D),Miglior Punteggio 40000 (3D),ベストスコア 40000 (3D),Najlepszy wynik 40000 (3D),Melhor Pontuação 40000 (3D),Лучший счёт 40000 (3D),Найкращий результат 40000 (3D),最高分 40000 (3D)
$Best_Score_40000_(Classic),Beste Punktzahl 40000 (Klassisch),Best Score 40000 (Classic),Meilleur score 40000 (Classique),Miglior Punteggio 40000 (Classico),ベストスコア 40000 (クラシック),Najlepszy wynik 40000 (klasyczny),Melhor Pontuação 40000 (Clássico),Лучший счёт 40000 (Классика),Найкращий результат 40000 (класичний),最高分40000（经典）
$Best_Score_50000_(3D),Beste Punktzahl 50000 (3D),Best Score 50000 (3D),Meilleur score 50000 (3D),Miglior Punteggio 50000 (3D),ベストスコア 50000 (3D),Najlepszy wynik 50000 (3D),Melhor Pontuação 50000 (3D),Лучший счёт 50000 (3D),Найкращий результат 50000 (3D),最高分 50000 (3D)
$Best_Score_50000_(Classic),Beste Punktzahl 50000 (Klassisch),Best Score 50000 (Classic),Meilleur score 50000 (Classique),Miglior Punteggio 50000 (Classico),ベストスコア 50000 (クラシック),Najlepszy wynik 50000 (klasyczny),Melhor Pontuação 50000 (Clássico),Лучший счёт 50000 (Классика),Найкращий результат 50000 (класичний),最高分50000（经典）
$Break_1_layer_(3D),1 Ebene brechen (3D),Break 1 layer (3D),Casser 1 couche (3D),Rompere 1 strato (3D), 1レイヤーをブレイク(3D),Przerwij 1 warstwę (3D),Quebre 1 camada (3D),Сломать 1 слой (3D),Розбити 1 шар (3D),打破 1 层 (3D)
